iter	Logloss
2492	0.2312391039
2493	0.23123125
2494	0.2312224771
2495	0.2312178685
2496	0.2312166831
2497	0.2312129999
2498	0.2312123696
2499	0.231210938
2500	0.2312091317
2501	0.2312080137
2502	0.2312071286
2503	0.2312008995
2504	0.2311966664
2505	0.2311894164
2506	0.2311839163
2507	0.2311816404
2508	0.2311788333
2509	0.2311750618
2510	0.2311682617
2511	0.2311638352
2512	0.2311627354
2513	0.2311600055
2514	0.2311581335
2515	0.2311537859
2516	0.2311456647
2517	0.2311388855
2518	0.2311350383
2519	0.2311312041
2520	0.2311269183
2521	0.2311188588
2522	0.2311155969
2523	0.2311104292
2524	0.2311016117
2525	0.2310978264
2526	0.2310978245
2527	0.2310939676
2528	0.2310886081
2529	0.2310822496
2530	0.2310792342
2531	0.2310693466
2532	0.2310613008
2533	0.2310586565
2534	0.2310558369
2535	0.2310481441
2536	0.231046186
2537	0.2310432888
2538	0.2310377045
2539	0.2310309211
2540	0.231026281
2541	0.2310188013
2542	0.2310145698
2543	0.2310082078
2544	0.2310041037
2545	0.2309977365
2546	0.2309941648
2547	0.230991273
2548	0.2309828181
2549	0.2309823337
2550	0.230978931
2551	0.2309740909
2552	0.2309711973
2553	0.2309645976
2554	0.2309594093
2555	0.2309562696
2556	0.2309523936
2557	0.2309499775
2558	0.2309405649
2559	0.2309348633
2560	0.2309343448
2561	0.2309278328
2562	0.2309197211
2563	0.2309152053
2564	0.2309108125
2565	0.2309063021
2566	0.2309042402
2567	0.230896553
2568	0.2308939773
2569	0.2308872002
2570	0.2308839906
2571	0.2308777737
2572	0.2308701339
2573	0.2308653063
2574	0.2308603656
2575	0.2308590519
2576	0.2308567588
2577	0.2308532792
2578	0.2308523147
2579	0.2308440029
2580	0.2308411704
2581	0.2308309997
2582	0.2308309826
2583	0.2308276063
2584	0.2308221031
2585	0.230818919
2586	0.2308119739
2587	0.2308079936
2588	0.2308043744
2589	0.2308020391
2590	0.2307961956
2591	0.2307871509
2592	0.2307792743
2593	0.2307769856
2594	0.2307706677
2595	0.230767899
2596	0.2307641608
2597	0.2307561071
2598	0.2307560788
2599	0.2307486458
2600	0.2307406674
2601	0.2307344362
2602	0.2307335032
2603	0.230726277
2604	0.2307187684
2605	0.2307162337
2606	0.2307116118
2607	0.2307061978
2608	0.2307033655
2609	0.2306997712
2610	0.2306925146
2611	0.2306847045
2612	0.2306802023
2613	0.2306780155
2614	0.2306707585
2615	0.2306642596
2616	0.2306602665
2617	0.2306565063
2618	0.2306527555
2619	0.2306488384
2620	0.2306469708
2621	0.2306407671
2622	0.2306368674
2623	0.2306322572
2624	0.2306286594
2625	0.2306278519
2626	0.2306224002
2627	0.2306191922
2628	0.2306191474
2629	0.23061095
2630	0.2306054397
2631	0.2306005561
2632	0.2305937723
2633	0.2305873716
2634	0.2305841899
2635	0.2305773207
2636	0.2305724777
2637	0.2305717244
2638	0.2305664875
2639	0.2305615333
2640	0.2305580802
2641	0.2305502604
2642	0.2305448315
2643	0.2305415133
2644	0.2305375054
2645	0.2305310929
2646	0.2305237449
2647	0.2305207933
2648	0.2305153912
2649	0.2305081487
2650	0.2305069096
2651	0.230505448
2652	0.2305028037
2653	0.2304999275
2654	0.2304932337
2655	0.2304923172
2656	0.2304874442
2657	0.2304816669
2658	0.2304782477
2659	0.2304725256
2660	0.2304703543
2661	0.2304686472
2662	0.2304641154
2663	0.2304571667
2664	0.2304508618
2665	0.2304474047
2666	0.230445962
2667	0.2304432935
2668	0.230436326
2669	0.2304314647
2670	0.2304236526
2671	0.2304217512
2672	0.2304114131
2673	0.2304071598
2674	0.2304016487
2675	0.2304003156
2676	0.2303929428
2677	0.2303913047
2678	0.2303847248
2679	0.2303784313
2680	0.2303745121
2681	0.2303739926
2682	0.2303697959
2683	0.2303677042
2684	0.2303634175
2685	0.2303587804
2686	0.2303522825
2687	0.2303484166
2688	0.2303456738
2689	0.2303403195
2690	0.230338135
2691	0.2303359585
2692	0.2303291131
2693	0.2303259288
2694	0.2303216487
2695	0.2303164602
2696	0.2303096072
2697	0.2303032401
2698	0.2303018111
2699	0.2302996662
2700	0.2302968837
2701	0.2302928268
2702	0.2302869089
2703	0.2302789124
2704	0.2302730627
2705	0.2302669283
2706	0.2302609896
2707	0.2302542725
2708	0.2302499419
2709	0.2302482815
2710	0.2302465054
2711	0.2302437378
2712	0.2302344432
2713	0.2302297863
2714	0.2302257394
2715	0.230222986
2716	0.2302145467
2717	0.2302115463
2718	0.2302034787
2719	0.2301976309
2720	0.2301937834
2721	0.2301889656
2722	0.2301866866
2723	0.2301818051
2724	0.2301759486
2725	0.2301677498
2726	0.2301617074
2727	0.2301563441
2728	0.2301551929
2729	0.2301550424
2730	0.2301500197
2731	0.2301466458
2732	0.2301455579
2733	0.2301418861
2734	0.230141531
2735	0.2301399528
2736	0.2301365365
2737	0.2301312527
2738	0.2301232334
2739	0.2301174978
2740	0.2301129219
2741	0.2301119346
2742	0.2301075533
2743	0.2301001408
2744	0.230097904
2745	0.2300958473
2746	0.2300918504
2747	0.2300851617
2748	0.2300764952
2749	0.2300700938
2750	0.2300659846
2751	0.2300624145
2752	0.2300602683
2753	0.230055715
2754	0.2300509825
2755	0.2300470785
2756	0.2300427106
2757	0.2300376709
2758	0.2300286141
2759	0.230022186
2760	0.2300206005
2761	0.2300181666
2762	0.2300141145
2763	0.230011483
2764	0.2300067623
2765	0.2300001449
2766	0.2299959128
2767	0.2299939268
2768	0.2299878866
2769	0.229984521
2770	0.2299810345
2771	0.2299736788
2772	0.2299709734
2773	0.2299649968
2774	0.2299589696
2775	0.2299559378
2776	0.2299509337
2777	0.2299456916
2778	0.2299400895
2779	0.2299361029
2780	0.2299351807
2781	0.2299313617
2782	0.2299282087
2783	0.2299208637
2784	0.2299138341
2785	0.2299106891
2786	0.2299067933
2787	0.2299039802
2788	0.2299014543
2789	0.2298986616
2790	0.2298955068
2791	0.2298906755
2792	0.2298899596
2793	0.2298858266
2794	0.2298774212
2795	0.2298762183
2796	0.2298720693
2797	0.2298658577
2798	0.2298613112
2799	0.2298598811
2800	0.229858171
2801	0.2298560654
2802	0.2298501709
2803	0.2298464204
2804	0.2298417526
2805	0.2298355381
2806	0.2298319035
2807	0.2298274282
2808	0.2298226047
2809	0.229820474
2810	0.2298169777
2811	0.2298104106
2812	0.2298042688
2813	0.2298006843
2814	0.2297956628
2815	0.2297936842
2816	0.2297899067
2817	0.2297871145
2818	0.2297845725
2819	0.2297789567
2820	0.2297719136
2821	0.2297687789
2822	0.2297686913
2823	0.2297664484
2824	0.2297618074
2825	0.2297579592
2826	0.2297528634
2827	0.2297501088
2828	0.2297440036
2829	0.2297394425
2830	0.2297324844
2831	0.2297290728
2832	0.2297229645
2833	0.2297178589
2834	0.2297162869
2835	0.2297100735
2836	0.2297042835
2837	0.2297006365
2838	0.2296953956
2839	0.2296883193
2840	0.2296868616
2841	0.2296823141
2842	0.2296788974
2843	0.2296743355
2844	0.2296685315
2845	0.2296606368
2846	0.2296577228
2847	0.2296541337
2848	0.2296510167
2849	0.2296469041
2850	0.229638916
2851	0.2296362634
2852	0.2296336876
2853	0.2296290349
2854	0.2296255897
2855	0.2296204957
2856	0.2296157082
2857	0.229615691
2858	0.2296096309
2859	0.229603202
2860	0.2295985757
2861	0.2295931652
2862	0.229583231
2863	0.22958058
2864	0.2295772089
2865	0.2295771913
2866	0.2295771853
2867	0.229572957
2868	0.2295679634
2869	0.2295650138
2870	0.2295637983
2871	0.2295567043
2872	0.2295537303
2873	0.22955272
2874	0.2295493207
2875	0.2295467231
2876	0.2295432145
2877	0.2295370508
2878	0.2295328752
2879	0.2295295813
2880	0.2295267745
2881	0.2295212232
2882	0.2295153549
2883	0.2295130913
2884	0.2295096981
2885	0.2295045498
2886	0.229503295
2887	0.2294988095
2888	0.2294955898
2889	0.2294899469
2890	0.2294859922
2891	0.2294814407
2892	0.2294775136
2893	0.2294769423
2894	0.2294713506
2895	0.2294705803
2896	0.2294686043
2897	0.2294630889
2898	0.2294610766
2899	0.2294538501
2900	0.229445966
2901	0.2294414558
2902	0.2294377408
2903	0.229436705
2904	0.2294297331
2905	0.2294259528
2906	0.2294228549
2907	0.2294144821
2908	0.2294113083
2909	0.2294109561
2910	0.2294051617
2911	0.2294004487
2912	0.2293973088
2913	0.229391892
2914	0.2293849461
2915	0.2293817977
2916	0.2293794029
2917	0.2293771054
2918	0.2293719257
2919	0.2293719251
